Tumorsubtype,Feature,Effect Size,Pvalue,Tumor subtype
,ABRAXAS1,0.9999840079106214,0.6659440142112769,M
,KDR,1.000010154954007,0.3560834511121551,M
,CD8+ naive T-cells,0.9999817792987061,0.27432102859502006,M
,DNMT3A,1.0000144584892987,0.7543574776019435,M
,RAD51D,0.9999645040104986,0.6149539523043448,M
,Stroma1,706.3466667899423,0.00034815450884922457,M
,CDKN2C,1.0000418103560917,0.2831087137486059,M
,TRDMT1,1.000008541149349,0.5134191620013556,M
,Reactive oxygen species pathway,0.1045916807086342,0.00884331271221893,M
,CD39,0.9999011406900549,0.009924600573751238,M
,NTRK2,13.205232786830825,0.00015038462740329722,M
,PDGFRA,54.34055339022322,0.002260117952838167,M
,PD-L1,0.999963028578269,0.026018269611987995,M
,IFNγ-iCAF,0.225642247533461,0.03027087881852111,M
,TNFA signaling via NF-kB,0.999855392080343,0.2831087137486059,M
,Glycolysis,0.9999760942501665,0.7543574776019435,M
,BRIP1,1.0000108902299487,0.637406013405055,M
,TIM3,0.9998642143880202,0.00523306725250751,M
,TLS Meylan,0.9999137056911735,0.12146552111835278,M
,CD40L,0.9999874133845386,0.0007393509590311017,M
,Adipocytes,1.0000023731041587,0.26913879342952207,M
,Basophils,1.0000194401915894,0.733979797428763,LAR
,Heme metabolism,1.0001311675513687,0.00575946762301812,LAR
,Immune1,0.9999076096238313,0.055930179241916816,LAR
,WNT beta catenin signaling,0.00541803040188198,0.0007612761412747438,LAR
,Th1 cells,0.9999486124601976,0.008445225465049876,LAR
,Estrogen response early,3787.426469100606,1.2121412909909042e-05,LAR
,IFNAR2,0.00017575049672229268,0.0002589515811182023,LAR
,PIK3CA,0.999941639343552,0.011838815348445457,LAR
,B7-H4,0.09740357700777177,0.0006648627017610078,LAR
,VEGFA,1.0000315645308628,0.8400904276452995,LAR
,Stroma2,0.9999712855226405,0.14865338444028092,LAR
,Trop-2,1.0002286322010605,0.3838466762838739,LAR
,CCR4,1.0000037691190204,0.7061692104589958,LAR
,detox-iCAF,1.000084976214665,0.2219774641011133,LAR
,CDK12,0.9999339347470958,0.09974684555390091,LAR
,GMP,1.000003305904379,0.5449574678398377,LAR
,TGFβ-myCAF,1.0000531425747254,0.6176845713560558,LAR
,Fibroblasts,0.999990604880119,0.07614245249222376,LAR
,CD73,1.0000413580437622,0.010485535345612184,LAR
,E2F targets,0.9995618486246958,0.0001208485756139173,LAR
,HDAC1,0.010647293428894714,0.003869502773618266,LAR
,Myocytes,0.9999963199068306,0.6327250686764693,LAR
,Endothelial cells,1.0000031286039055,0.5171059205556208,LAR
,Th2 cells,0.9998914317229686,0.002304412625208194,LAR
,BARD1,0.9999828263012784,0.5663239449400068,LAR
,TLR2,1.0000250427738118,0.23427163936763684,LAR
,GITR,0.9999703285872582,0.2025265856559486,LAR
,MLH1,1.0000566410134895,0.014159418511954727,LAR
,Eosinophils,1.0000036987971441,0.40747173621682975,LAR
,CD8+ Tem,0.9999956606767753,0.4508421203320515,LAR
,PI3K AKT mTOR signaling,1.000167122467691,0.010169495079857503,LAR
,ecm-myCAF,1.000038623775401,0.8818074152864508,LAR
,PD1,0.9999811061695258,0.013746769886407977,LAR
,IL6 JAK STAT3 signaling,0.9998559747350082,0.10880167352218593,LAR
,Pericytes,0.9999916916538506,0.7824581986334298,LAR
,VCpred TN,1.0001971387275481,0.08344441009571295,LAR
,MTOR,1.0000250664276864,0.5034618308577306,LAR
,PDGFRB,1.0000061483160567,0.6943669431680901,LAR
,NECTIN4,1.0000064829781405,0.8317967818365045,LAR
,G2M checkpoint,0.9996264477152058,0.0003053000645891117,LAR
,KRAS signaling,0.9999926761298554,0.7259963548927909,LAR
,Preadipocytes,1059261432.1179655,1.6998810375236586e-05,LAR
,Macrophages,0.9999877474342498,0.03690554984422008,LAR
,POLH,0.999945876613939,0.0003895831433809798,LAR
,5T4,12.022407273040614,0.03738839847958932,LAR
,AR gene,657.2000918932632,6.539807036556081e-06,LAR
,CD4+ memory T-cells,0.9999962017654517,0.8901941810994883,LAR
,RAD51C,0.9998210835057925,0.00045735904047494773,LAR
,Tregs,1.0000032827599756,0.21209094863382028,LAR
,MYC targets v2,0.9996149151392739,7.456870645213946e-05,LAR
,NOTCH signaling,0.9999169796367313,0.2427312072402803,LAR
,TF,0.9996091062172361,3.141004225585749e-05,LAR
,CD8+ Tcm,0.9999967409730074,0.32855459302994094,LAR
,NKT,1.0000982686638598,0.06014629964231305,LAR
,Mast cells,1.0000032122554663,0.39555263393092577,LAR
,FOXP3,0.9999922840595519,0.819391627837473,LAR
,PMS1,0.9999829176206008,0.03109642405593597,LAR
,Apical junction,0.9999079971949703,0.050694261616300994,LAR
,IL-iCAF,1.0000137758840506,0.6403031871054501,LAR
,ATR,0.9999470785930842,0.11116406487605032,LAR
,CXCR4,0.9996614164923482,9.489423994419523e-06,LAR
,FLT4,1.0000041309234204,0.9491937294024501,LAR
,Bile acid metabolism,110584.06991005644,1.150908460280125e-06,LAR
,DNMT3B,1.0000233132376255,0.015463672409363327,LAR
,GGI,1.9797792765155887e-08,9.489423994419523e-06,LAR
,Complement,0.9999191615535671,0.28344686641071637,LAR
,iDC,1.0000266407193272,0.010326439239540014,LAR
,BRCA2,0.9999515660698167,0.0059495277677955585,LAR
,ERBB3,1.0003884140200219,0.024359227324403116,LAR
,Fatty acid metabolism,11822.83400309416,5.996001142982561e-07,LAR
,Unnamed: 225,1.0,1.0,LAR
,CD137,0.9999697503671444,0.033672068856345834,LAR
,PSMA,0.9999090304947752,0.004280041047069313,LAR
,Myogenesis,0.9998749697096563,0.06014629964231305,LAR
,NK cells,0.9999999261039875,0.9154245842987188,LAR
